1595522707186|13|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1595522707278|2|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = ?)|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = '13700000001')
1595522759067|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1595522759071|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = ?)|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = '13700000001')
1595522839326|1|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1595522839330|1|statement|connection 10|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = ?)|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = '13700000001')
1595522914972|49|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1595522915236|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = ?)|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = '13700000001')
1595523044019|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
1595523044066|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = ?)|SELECT id, openid, mobile, password, nickname, sex, age, avatar, sign, is_disabled AS disabled, is_deleted AS deleted, gmt_create, gmt_modified FROM ucenter_member WHERE is_deleted = 0 AND (mobile = '13700000001')
1596098659647|7|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/gedu?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai|SELECT 1|SELECT 1
